Year	Month	Natal	Salvador
1961	1	174.4	47.9
1961	2	35	7.8
1961	3	306.4	76.4
1961	4	313.4	91
1961	5	197.5	194.9
1961	6	115.6	223
1961	7	175.5	107.8
1961	8	39.7	77.4
1961	9	62.3	5.8
1961	10	33	39.7
1961	11	0	8
1961	12	9.1	66.4
1962	1	1.1	6.1
1962	2	15.4	61.7
1962	3	194.4	169.9
1962	4	171	138.3
1962	5	197.7	185.4
1962	6	186.8	227.7
1962	7	113.1	230.5
1962	8	114.8	79.1
1962	9	121.8	24
1962	10	6	70.1
1962	11	2.3	142.5
1962	12	30.3	54.5
1963	1	59	33
1963	2	181.9	272.6
1963	3	200.3	120.5
1963	4	227.3	205
1963	5	88	380.4
1963	6	93.4	136.9
1963	7	103.8	140.7
1963	8	42.6	97.6
1963	9	13.4	37.9
1963	10	8.2	24.3
1963	11	70.5	75
1963	12	108.4	305.3
1964	1	189.4	481.2
1964	2	234	140.3
1964	3	240.7	361.4
1964	4	318.1	376.5
1964	5	343	424.5
1964	6	280.9	259.3
1964	7	306.6	225.1
1964	8	150.5	255.6
1964	9	127.7	110.4
1964	10	7.6	176.8
1964	11	18.6	222.2
1964	12	3.2	189.9
1965	1	71.5	85.9
1965	2	7.8	47.9
1965	3	101.3	56.5
1965	4	480	473.7
1965	5	352.3	299.9
1965	6	327	258
1965	7	178	128.1
1965	8	41.4	101.2
1965	9	55.6	39.3
1965	10	12.9	99.5
1965	11	7.8	206.2
1965	12	15	46.5
1966	1	8.6	45
1966	2	74.5	203
1966	3	45.2	92
1966	4	101.3	207.3
1966	5	218	703.7
1966	6	240	196.8
1966	7	435.9	178.7
1966	8	135.4	148.9
1966	9	89	93.5
1966	10	0.6	138.2
1966	11	28.7	103.7
1966	12	14	97.2
1967	1	2.2	9.6
1967	2	143	62
1967	3	352.2	173.6
1967	4	239	392.3
1967	5	138	363.9
1967	6	387.7	162.3
1967	7	211.5	139.4
1967	8	38.6	117.5
1967	9	56.5	95.4
1967	10	48.2	54.4
1967	11	3	97.7
1967	12	11.5	267.5
1968	1	51.6	200.2
1968	2	38.8	294.8
1968	3	213.9	288.1
1968	4	208.5	193.4
1968	5	149.9	467.9
1968	6	61.5	364.1
1968	7	220	127.4
1968	8	27.5	102.5
1968	9	2.9	126.8
1968	10	4.2	83.2
1968	11	3.1	159.2
1968	12	21.6	96.2
1969	1	93.1	100.7
1969	2	96.3	133.4
1969	3	168.6	287.5
1969	4	195.8	234.1
1969	5	160.4	592.2
1969	6	252.8	361.8
1969	7	202.6	164.4
1969	8	170.1	122.3
1969	9	19.6	83.9
1969	10	8.4	46.1
1969	11	4.5	39.5
1969	12	7.4	308.5
1970	1	26.9	192.1
1970	2	18.8	164.5
1970	3	208.4	73
1970	4	212.3	205.1
1970	5	60.8	244.6
1970	6	214.7	242
1970	7	93.3	238.1
1970	8	241	139.4
1970	9	29.3	69.4
1970	10	2.9	102.3
1970	11	20.1	221.2
1970	12	1.6	24.2
1971	1	51.6	95.4
1971	2	60.1	55.9
1971	3	97.8	83.4
1971	4	209.8	653.6
1971	5	276.3	436.3
1971	6	164.3	311.9
1971	7	255.9	428.6
1971	8	184.4	288.4
1971	9	74.9	156.7
1971	10	95	162.1
1971	11	94.5	66.5
1971	12	11.9	68.2
1972	1	12	67.9
1972	2	13.9	129.6
1972	3	56.1	51.2
1972	4	160.1	272.4
1972	5	240.7	313.5
1972	6	59.6	242.7
1972	7	223.3	75.2
1972	8	116.8	165
1972	9	59.5	152.9
1972	10	18.7	174.7
1972	11	2.1	34.8
1972	12	15.8	74.7
1973	1	86.1	66
1973	2	193.1	18.5
1973	3	237.4	59
1973	4	325	165.6
1973	5	324.4	599.9
1973	6	553.5	479.3
1973	7	453.4	225.4
1973	8	37.1	151.2
1973	9	138.8	177.8
1973	10	11.5	260.6
1973	11	21.7	170.9
1973	12	37.1	48.8
1974	1	255.8	163.2
1974	2	209.1	292.2
1974	3	304.1	137.9
1974	4	463.7	458.3
1974	5	395.1	429.6
1974	6	199.2	202
1974	7	276.1	135.6
1974	8	99	92.1
1974	9	162.8	80.7
1974	10	9.5	112.2
1974	11	10.3	155.2
1974	12	39.3	189.6
1975	1	13.8	118.1
1975	2	87.9	114.5
1975	3	119.5	169.2
1975	4	91.2	737.9
1975	5	134.3	560.4
1975	6	338.2	168.9
1975	7	243.2	222.3
1975	8	115.7	134.4
1975	9	37	142
1975	10	10.5	83.2
1975	11	8.4	103.2
1975	12	36.1	118.8
1976	1	7.6	48.2
1976	2	175.2	174.3
1976	3	262.1	120.3
1976	4	138.7	179.2
1976	5	189.5	196.3
1976	6	88.8	67.5
1976	7	90.6	153.9
1976	8	49.1	142.4
1976	9	13.8	54.3
1976	10	40.9	185.1
1976	11	18.9	93.3
1976	12	75.1	15
1977	1	99.8	153.7
1977	2	30.9	178.5
1977	3	171	64.3
1977	4	139.9	233.7
1977	5	73.5	431.6
1977	6	539.9	274.2
1977	7	241	131.2
1977	8	34.9	20.3
1977	9	17.1	231
1977	10	11.6	238.5
1977	11	11.7	8.9
1977	12	26.4	321.7
1978	1	8.4	53.7
1978	2	143.9	41.2
1978	3	100.6	240.3
1978	4	260.8	261.3
1978	5	118	357
1978	6	118.8	458.3
1978	7	193.3	240.2
1978	8	51.3	114.5
1978	9	40	129.1
1978	10	34.6	143.7
1978	11	20.6	78.4
1978	12	57.8	163.2
1979	1	46.4	126.4
1979	2	68.5	201.2
1979	3	28.3	60.6
1979	4	95.2	299.1
1979	5	251.2	125.1
1979	6	113.1	284.1
1979	7	66.3	187.3
1979	8	62.6	73.6
1979	9	46.1	27.6
1979	10	9.1	23.2
1979	11	18.9	109.3
1979	12	12.2	47.8
1980	1	66.7	186.1
1980	2	270.4	364.2
1980	3	136.2	70.2
1980	4	56.6	79.9
1980	5	148.6	197.4
1980	6	119	146.7
1980	7	175	128.3
1980	8	75.7	168.9
1980	9	59.6	157.3
1980	10	8.4	89
1980	11	26.8	306.8
1980	12	21.4	54.7
1981	1	20.4	54.8
1981	2	203.6	94.3
1981	3	183.7	197.4
1981	4	102.8	246.3
1981	5	99.9	203.3
1981	6	128.5	268
1981	7	40.9	194.7
1981	8	12	63.3
1981	9	14.1	19.6
1981	10	11.5	40.9
1981	11	8.3	46.1
1981	12	92.2	60.7
1982	1	11.6	19.6
1982	2	174.3	149.2
1982	3	105.5	11.3
1982	4	70	424.1
1982	5	228.6	333.6
1982	6	142.8	345.4
1982	7	165.4	152
1982	8	67.3	87.8
1982	9	35.4	133.9
1982	10	56	105.7
1982	11	46.7	17.2
1982	12	21.3	23.1
1983	1	37.8	27
1983	2	54.5	96.4
1983	3	153.9	227.2
1983	4	115.8	186.1
1983	5	124.4	63.1
1983	6	74.6	324.5
1983	7	30.4	103.5
1983	8	112.2	186.8
1983	9	15.4	92
1983	10	23.9	127.5
1983	11	3.1	106.3
1983	12	8.8	45.8
1984	1	54.8	44.5
1984	2	55	29.7
1984	3	232.8	217.3
1984	4	444.7	889.8
1984	5	530	356.3
1984	6	249	219.3
1984	7	138.9	130.6
1984	8	162.2	134
1984	9	69.1	206.6
1984	10	48.9	111.3
1984	11	14.7	37.2
1984	12	19	27
1985	1	144.2	119.3
1985	2	326.8	99.1
1985	3	358.6	71
1985	4	176.6	869
1985	5	353.7	381.1
1985	6	201.8	167.4
1985	7	396.1	223.4
1985	8	181.3	157.4
1985	9	127.6	66.2
1985	10	1.4	111.5
1985	11	19.9	252
1985	12	23.3	183.2
1986	1	52.5	93.1
1986	2	259.1	30.8
1986	3	288.3	274.4
1986	4	642.4	428.5
1986	5	354.2	249
1986	6	317.1	197.4
1986	7	112.5	140.4
1986	8	194.4	153.8
1986	9	81	234
1986	10	57.3	272.3
1986	11	127.7	163.5
1986	12	41.1	106.2
1987	1	26.4	21
1987	2	78.9	61.9
1987	3	246.8	130
1987	4	277.7	147.2
1987	5	87.3	218.9
1987	6	347.1	227.5
1987	7	290.7	238.7
1987	8	37.9	111.5
1987	9	50.8	102.3
1987	10	20.7	14.8
1987	11	15.5	224.6
1987	12	4.4	44.7
1988	1	18.9	169.8
1988	2	127.8	80.6
1988	3	325.7	330.6
1988	4	263.3	272
1988	5	375	185.7
1988	6	398	236.6
1988	7	342.3	295.8
1988	8	128.2	135.3
1988	9	73.3	50.6
1988	10	3.7	77.3
1988	11	20.5	138.2
1988	12	75.6	174.4
1989	1	38.9	190.3
1989	2	35.1	28.6
1989	3	75.9	153.9
1989	4	341.2	412.7
1989	5	138	662.7
1989	6	233.4	265.8
1989	7	239.6	183.3
1989	8	121.9	192
1989	9	50.5	249.3
1989	10	27.4	125.4
1989	11	26.1	149.3
1989	12	104	446.7
1990	1	42.7	51.1
1990	2	43	34
1990	3	63.1	70.6
1990	4	141.4	52
1990	5	95.4	326.1
1990	6	275.7	211.7
1990	7	149.9	277.5
1990	8	195.1	208.7
1990	9	47.2	134.3
1990	10	23.1	396.9
1990	11	54.3	32.1
1990	12	2.7	247.9
1991	1	27.1	188.4
1991	2	164	86.8
1991	3	106.1	113.8
1991	4	306.5	304.4
1991	5	304.9	294.4
1991	6	234.6	315.5
1991	7	143.5	100.2
1991	8	73.4	126.2
1991	9	9.4	73.9
1991	10	24.4	30.9
1991	11	45.5	96.6
1991	12	6.8	31
1992	1	52.9	76.7
1992	2	184.4	217.5
1992	3	188.7	92.7
1992	4	315	128.5
1992	5	130.8	107
1992	6	343.4	197
1992	7	80.5	196.1
1992	8	151	102.5
1992	9	31.1	93.3
1992	10	3.2	23.8
1992	11	26.2	207.7
1992	12	6.4	132.7
1993	1	21.6	12.7
1993	2	29.4	7.7
1993	3	84.8	12.3
1993	4	227.8	107.9
1993	5	143.6	386.8
1993	6	160.7	180.8
1993	7	129.6	117.4
1993	8	24.1	164.6
1993	9	0.9	72.7
1993	10	61.9	110
1993	11	15.5	48.9
1993	12	40.3	13.6
1994	1	94.5	30
1994	2	87	65.2
1994	3	242.6	240.3
1994	4	275.7	424.9
1994	5	79.7	197.6
1994	6	36.4	477.8
1994	7	399.6	336.5
1994	8	85.1	198.5
1994	9	57.3	101
1994	10	4.2	120.9
1994	11	20.4	49.2
1994	12	118.6	44.9
1995	1	24.6	18.9
1995	2	60.7	35
1995	3	277.6	81.8
1995	4	237.4	286.2
1995	5	327.4	473.5
1995	6	254.4	245.3
1995	7	297.1	178
1995	8	34.8	78.3
1995	9	21.6	67.3
1995	10	4.2	16.5
1995	11	41.3	156.4
1995	12	0.4	41.9
1996	1	36.7	55.9
1996	2	69.7	101.9
1996	3	216.2	59.9
1996	4	359.5	757.8
1996	5	154.5	187.5
1996	6	198.9	178.5
1996	7	145.8	202.4
1996	8	125.2	124
1996	9	86.4	206.4
1996	10	78.6	111.1
1996	11	45	228.6
1996	12	17.2	73.8
1997	1	12.3	38.3
1997	2	78.2	225.6
1997	3	160.1	277.6
1997	4	255.7	346.9
1997	5	230	165.4
1997	6	77.2	168.7
1997	7	78.7	183.1
1997	8	122.4	52
1997	9	5.3	30
1997	10	3	130.1
1997	11	2.7	26.8
1997	12	55.8	24.9
1998	1	37.6	63.6
1998	2	75.9	55.6
1998	3	69.2	117.2
1998	4	41.4	206
1998	5	198.4	250.9
1998	6	210	358.3
1998	7	789	306.5
1998	8	138.5	155.4
1998	9	19	63.9
1998	10	13.7	111.8
1998	11	8.5	65.3
1998	12	17	34.5
1999	1	12.6	99.3
1999	2	143.8	102.9
1999	3	139.2	313.9
1999	4	175.8	376.6
1999	5	279.3	376.9
1999	6	131.5	185
1999	7	31.1	225
1999	8	47	323.5
1999	9	51.1	141.2
1999	10	14.5	163.9
1999	11	4.8	275.5
1999	12	64.7	94.2
2000	1	50	29.5
2000	2	83.9	85.5
2000	3	114.9	191.9
2000	4	177.4	365.4
2000	5	230	241.3
2000	6	577.4	310.4
2000	7	382.3	201.1
2000	8	288.8	136.3
2000	9	205.3	161.6
2000	10	8.7	15.9
2000	11	12.1	74.3
2000	12	23	88
2001	1	30.1	95.2
2001	2	6.8	28.6
2001	3	133.8	264.1
2001	4	360.9	103.5
2001	5	14.4	126.5
2001	6	373.6	195.8
2001	7	145.2	220.3
2001	8	64	149.7
2001	9	28.4	190.8
2001	10	13.7	202.3
2001	11	17.1	30.3
2001	12	51.3	112.1
2002	1	114	252.4
2002	2	80.6	102.8
2002	3	484.1	102.1
2002	4	137.7	69.3
2002	5	122.9	351.6
2002	6	405.6	209.2
2002	7	225.2	254.8
2002	8	312.9	162.8
2002	9	1	258.8
2002	10	29.1	16
2002	11	97.5	25.2
2002	12	19.4	22.7
2003	1	83.7	26.7
2003	2	184	97.3
2003	3	317.8	206.3
2003	4	133.4	186.8
2003	5	230.8	550.5
2003	6	229.8	237.5
2003	7	201.6	186.5
2003	8	49.6	136.7
2003	9	38.7	168.7
2003	10	21.7	72.2
2003	11	16.1	132.8
2003	12	22.5	14.9
2004	1	383.9	319.4
2004	2	283.1	165.3
2004	3	252	121.9
2004	4	168.8	278.4
2004	5	160.7	159.5
2004	6	640.2	326.3
2004	7	393.5	218.4
2004	8	90.1	129.5
2004	9	44.4	40.5
2004	10	14.4	82
2004	11	10.1	167.6
2004	12	4.8	10.9
2005	1	2	42.9
2005	2	36.4	349.4
2005	3	186.3	349.4
2005	4	144	415
2005	5	547.3	198.2
2005	6	756.3	421.1
2005	7	115.2	204.1
2005	8	134.6	117.1
2005	9	43.9	50.6
2005	10	31.6	32.9
2005	11	1.2	72.8
2005	12	10.4	75.5
2006	1	4.2	40.1
2006	2	87.2	7.1
2006	3	157.4	35
2006	4	377.3	587.4
2006	5	115.3	396.7
2006	6	373.2	401.4
2006	7	133.4	91.7
2006	8	90.6	122.7
2006	9	45.2	126.9
2006	10	13.4	258.9
2006	11	83.5	220
2006	12	49.9	30.3
2007	1	86.3	20
2007	2	66	282.6
2007	3	265	86.8
2007	4	247.7	143.2
2007	5	120.9	211.2
2007	6	560.5	134
2007	7	191.8	130.4
2007	8	95.8	109
2007	9	46.3	85.8
2007	10	20.2	78.9
2007	11	45.2	19.1
2007	12	16	18.8
2008	1	69.2	17.8
2008	2	22.4	183.8
2008	3	275.5	149.3
2008	4	409.3	154.3
2008	5	212.3	203.6
2008	6	542.3	178.2
2008	7	473.3	149.1
2008	8	401.3	58.7
2008	9	37.8	37.8
2008	10	31.8	31.7
2008	11	9.5	78.4
2008	12	0.4	103.5
2009	1	162.1	30.3
2009	2	245.4	122.1
2009	3	220.6	25.6
2009	4	364.3	506.6
2009	5	372.3	549.3
2009	6	304.7	155.1
2009	7	347.9	158.9
2009	8	229.2	93.8
2009	9	76.7	56.1
2009	10	1	162.4
2009	11	6.7	48.1
2009	12	9.5	7.8
2010	1	70.9	78.5
2010	2	81.4	19.2
2010	3	107.4	122.8
2010	4	191	448.8
2010	5	262.6	243.8
2010	6	155.2	96.7
2010	7	151.4	492.5
2010	8	95.3	176.3
2010	9	38.5	55.8
2010	10	8.2	56.7
2010	11	4.2	27.2
2010	12	54.7	102.5
2011	1	326.1	170.3
2011	2	76.5	46.2
2011	3	146.7	200.7
2011	4	371.6	331
2011	5	413	304.2
2011	6	445.4	277.7
2011	7	170.4	57.6
2011	8	118.8	91.3
2011	9	33.3	62
2011	10	20.8	208.5
2011	11	44	319.2
2011	12	21.9	100.7
2012	1	76.5	35.7
2012	2	110.9	70.9
2012	3	146.2	74.7
2012	4	60.7	48.8
2012	5	184.4	411.5
2012	6	302.1	170.2
2012	7	234.9	162.5
2012	8	63.4	137.4
2012	9	41.6	30.7
2012	10	18.4	73.6
2012	11	0.7	35.5
2012	12	1.4	10.7
2013	1	20.2	36.2
2013	2	59.8	28.6
2013	3	35.1	38.4
2013	4	175.6	230.8
2013	5	254.9	231.1
2013	6	399.1	308.4
2013	7	430.6	198
2013	8	242	211.2
2013	9	200	109.4
2013	10	11.1	208.6
2013	11	38.6	209.2
2013	12	10.1	158.2
2014	1	79	48.3
2014	2	52.1	142.7
2014	3	262.1	128.8
2014	4	81.9	107.1
2014	5	191	247.2
2014	6	540.4	240.6
2014	7	231.4	198.9
2014	8	89.7	60.2
2014	9	149	92.7
2014	10	30.7	27.7
2014	11	24.8	59
2014	12	23.9	194.2
2015	1	30.3	51.3
2015	2	77.7	89.6
2015	3	317	31.3
2015	4	156.1	394.2
2015	5	69.6	639
2015	6	301.2	352.4
2015	7	316.5	184
2015	8	43.1	87.5
2015	9	24.4	21.9
2015	10	6.6	16.6
2015	11	0.4	3.2
2015	12	67.1	15.7
